model	k	v	pp512	tg128	ppl
35B-A3B	f16	f16	1208.58	88.14	6.9907
35B-A3B	q8_0	q8_0	1182.71	84.26	7.0343
35B-A3B	q4_0	q4_0	1173.79	83.13	7.0307
35B-A3B	ktq1	vtq1	1091.26	84.68	8.6587
35B-A3B	ktq1	vtq2	1165.42	85.29	7.0291
35B-A3B	ktq1	vtq3	1164.28	85.11	7.0291
35B-A3B	ktq1	vtq4	995.14	83.42	6.9881
35B-A3B	ktq2	vtq1	1087.09	84.42	8.6587
35B-A3B	ktq2	vtq2	1164.29	84.66	7.0291
35B-A3B	ktq2	vtq3	1161.26	84.18	7.0291
35B-A3B	ktq2	vtq4	993.99	82.94	6.9881
35B-A3B	ktq3	vtq1	1084.27	83.74	8.6587
35B-A3B	ktq3	vtq2	1159.69	84.50	7.0291
35B-A3B	ktq3	vtq3	1159.80	84.51	7.0291
35B-A3B	ktq3	vtq4	992.03	82.80	6.9881
35B-A3B	ktq4	vtq1	1084.57	83.96	8.6587
35B-A3B	ktq4	vtq2	1160.05	84.61	7.0291
35B-A3B	ktq4	vtq3	1159.05	84.56	7.0291
35B-A3B	ktq4	vtq4	991.91	83.06	6.9881
80B-TQ1	f16	f16	754.74	61.45	6.4665
80B-TQ1	q8_0	q8_0	747.84	59.36	6.4848
80B-TQ1	q4_0	q4_0	747.60	58.95	6.3827
80B-TQ1	ktq1	vtq1	705.65	59.92	6.9043
80B-TQ1	ktq1	vtq2	745.93	60.33	6.4822
80B-TQ1	ktq1	vtq3	744.85	60.11	6.4822
80B-TQ1	ktq1	vtq4	659.43	59.15	6.4683
80B-TQ1	ktq2	vtq1	705.02	59.77	6.9043
80B-TQ1	ktq2	vtq2	744.89	60.21	6.4822
80B-TQ1	ktq2	vtq3	745.14	60.15	6.4822
80B-TQ1	ktq2	vtq4	659.76	59.23	6.4683
80B-TQ1	ktq3	vtq1	704.80	59.87	6.9043
80B-TQ1	ktq3	vtq2	745.39	60.15	6.4822
80B-TQ1	ktq3	vtq3	744.66	60.30	6.4822
80B-TQ1	ktq3	vtq4	659.97	58.83	6.4683
80B-TQ1	ktq4	vtq1	704.61	59.55	6.9043
80B-TQ1	ktq4	vtq2	745.49	60.04	6.4822
80B-TQ1	ktq4	vtq3	745.26	60.31	6.4822
80B-TQ1	ktq4	vtq4	660.21	59.08	6.4683
122B-IQ2	f16	f16	163.31	14.67	4.0540
122B-IQ2	q8_0	q8_0	168.28	14.66	4.0726
122B-IQ2	q4_0	q4_0	171.35	14.45	4.0450
122B-IQ2	ktq1	vtq1	163.30	14.50	4.8035
122B-IQ2	ktq1	vtq2	172.29	14.51	4.0373
122B-IQ2	ktq1	vtq3	169.35	14.65	4.0373
122B-IQ2	ktq1	vtq4	159.40	14.57	4.0879
122B-IQ2	ktq2	vtq1	167.28	14.57	4.8035
122B-IQ2	ktq2	vtq2	169.04	14.85	4.0373
122B-IQ2	ktq2	vtq3	167.81	14.54	4.0373
122B-IQ2	ktq2	vtq4	159.44	14.68	4.0879
122B-IQ2	ktq3	vtq1	163.87	14.63	4.8035
122B-IQ2	ktq3	vtq2	169.41	14.47	4.0373
122B-IQ2	ktq3	vtq3	166.13	14.53	4.0373
122B-IQ2	ktq3	vtq4	159.97	14.50	4.0879
122B-IQ2	ktq4	vtq1	166.50	14.77	4.8035
122B-IQ2	ktq4	vtq2	171.26	14.71	4.0373
122B-IQ2	ktq4	vtq3	169.51	14.62	4.0398
122B-IQ2	ktq4	vtq4	158.81	14.69	4.0879
